Queries, Number of Overlapping Results, Percent Overlap, Spearman Coefficient
Query 1, 1, 10.0%, 0
Query 2, 0, 0.0%, 0
Query 3, 0, 0.0%, 0
Query 4, 3, 30.0%, -6.25
Query 5, 1, 10.0%, 0
Query 6, 0, 0.0%, 0
Query 7, 0, 0.0%, 0
Query 8, 0, 0.0%, 0
Query 9, 1, 10.0%, 0
Query 10, 1, 10.0%, 0
Query 11, 1, 10.0%, 0
Query 12, 1, 10.0%, 1
Query 13, 0, 0.0%, 0
Query 14, 1, 10.0%, 0
Query 15, 2, 20.0%, -44.0
Query 16, 1, 10.0%, 0
Query 17, 2, 20.0%, -25.0
Query 18, 0, 0.0%, 0
Query 19, 1, 10.0%, 0
Query 20, 2, 20.0%, -49.0
Query 21, 0, 0.0%, 0
Query 22, 0, 0.0%, 0
Query 23, 1, 10.0%, 0
Query 24, 1, 10.0%, 0
Query 25, 0, 0.0%, 0
Query 26, 1, 10.0%, 0
Query 27, 2, 20.0%, -64.0
Query 28, 0, 0.0%, 0
Query 29, 0, 0.0%, 0
Query 30, 0, 0.0%, 0
Query 31, 1, 10.0%, 0
Query 32, 1, 10.0%, 0
Query 33, 0, 0.0%, 0
Query 34, 1, 10.0%, 1
Query 35, 1, 10.0%, 0
Query 36, 1, 10.0%, 0
Query 37, 1, 10.0%, 0
Query 38, 1, 10.0%, 0
Query 39, 1, 10.0%, 0
Query 40, 1, 10.0%, 0
Query 41, 1, 10.0%, 0
Query 42, 1, 10.0%, 1
Query 43, 0, 0.0%, 0
Query 44, 1, 10.0%, 0
Query 45, 1, 10.0%, 0
Query 46, 0, 0.0%, 0
Query 47, 2, 20.0%, -35.0
Query 48, 0, 0.0%, 0
Query 49, 1, 10.0%, 0
Query 50, 1, 10.0%, 1
Query 51, 0, 0.0%, 0
Query 52, 1, 10.0%, 0
Query 53, 1, 10.0%, 0
Query 54, 0, 0.0%, 0
Query 55, 0, 0.0%, 0
Query 56, 1, 10.0%, 0
Query 57, 1, 10.0%, 0
Query 58, 0, 0.0%, 0
Query 59, 0, 0.0%, 0
Query 60, 0, 0.0%, 0
Query 61, 1, 10.0%, 0
Query 62, 2, 20.0%, -1.0
Query 63, 1, 10.0%, 0
Query 64, 0, 0.0%, 0
Query 65, 0, 0.0%, 0
Query 66, 0, 0.0%, 0
Query 67, 0, 0.0%, 0
Query 68, 1, 10.0%, 0
Query 69, 0, 0.0%, 0
Query 70, 1, 10.0%, 1
Query 71, 1, 10.0%, 0
Query 72, 0, 0.0%, 0
Query 73, 1, 10.0%, 1
Query 74, 0, 0.0%, 0
Query 75, 1, 10.0%, 0
Query 76, 0, 0.0%, 0
Query 77, 0, 0.0%, 0
Query 78, 1, 10.0%, 0
Query 79, 1, 10.0%, 1
Query 80, 1, 10.0%, 0
Query 81, 0, 0.0%, 0
Query 82, 0, 0.0%, 0
Query 83, 1, 10.0%, 0
Query 84, 0, 0.0%, 0
Query 85, 0, 0.0%, 0
Query 86, 1, 10.0%, 1
Query 87, 0, 0.0%, 0
Query 88, 1, 10.0%, 0
Query 89, 2, 20.0%, -25.0
Query 90, 1, 10.0%, 0
Query 91, 0, 0.0%, 0
Query 92, 1, 10.0%, 0
Query 93, 0, 0.0%, 0
Query 94, 2, 20.0%, -24.0
Query 95, 0, 0.0%, 0
Query 96, 0, 0.0%, 0
Query 97, 1, 10.0%, 0
Query 98, 0, 0.0%, 0
Query 99, 1, 10.0%, 0
Query 100, 0, 0.0%, 0
Averages, 0.67, 6.7%, -2.6525